Circunscripción,1828,1829,1831,1876,1879,1885,1888,1891,1912
Tarapacá,,,,,,1,1,1,1
Antofagasta,,,,,,,0,1,1
Atacama,,,,1,1,2,2,1,1
Coquimbo,2,2,2,2,3,3,3,2,2
Aconcagua,1,2,2,3,3,3,3,2,2
Valparaíso,,,,3,3,3,3,2,3
Santiago,4,2,2,5,6,5,6,4,6
O'Higgins,,,,,,1,1,1,1
Colchagua,2,2,1,3,3,3,4,2,2
Curicó,,,,2,2,2,2,1,1
Talca,,,,2,2,2,2,1,2
Linares,,,,2,2,2,2,1,1
Maule,2,0,2,2,2,2,2,2,2
Ñuble,,,,2,2,2,2,2,2
Concepción,2,0,2,2,2,3,3,2,3
Arauco,,,,1,1,1,0,1,1
Bío-Bío,,,,2,2,2,2,1,1
Malleco,,,,,,,1,1,1
Cautín,,,,,,,1,1,1
Valdivia,1,2,2,1,1,1,1,1,1
Llanquihue,,,,1,1,1,1,1,1
Chiloé,1,2,2,1,1,1,1,1,1